Animal Crossing: Wild World,8.8,12.27	
Animal Genius,6.5,0.12	
Animal Paradise,5.0,0.25	
Animaniacs Ten Pin Alley,7.1,0.66	
Animorphs: Shattered Reality,3.5,0.06	
Anno 2070,8.5,1.45	
Anno 2205,7.0,0.25	
Ant Nation,5.4,0.07	
Antz Extreme Racing,2.4,0.06	
Anubis II,2.0,0.07	
Apache: Air Assault,7.5,0.42	
Ape Escape 2,9.0,0.63	
Ape Escape 3,8.3,0.13	
Ape Escape Academy,5.5,0.33	
Ape Escape,9.5,1.68	
Ape Escape: On the Loose,7.0,0.7	
Ape Escape: Pumped & Primed,6.3,0.08	
Apocalypse,7.0,0.45	
Apollo Justice: Ace Attorney,8.3,1.06	
Aqua Aqua,7.7,0.11	
Aquaman: Battle for Atlantis,3.0,0.01	
Aquanaut's Holiday,8.0,0.02	
Ar tonelico Qoga: Knell of Ar Ciel,6.0,0.24	
Ar tonelico: Melody of Elemia,7.4,0.1	
Arc Rise Fantasia,6.5,0.19	
Arc the Lad: End of Darkness,6.9,0.06	
Arc the Lad: Twilight of the Spirits,8.2,0.36	
Arcade Party Pak,7.5,0.11	
Arcana Heart,8.3,0.16	
Arctic Tale,3.5,0.19	
Arctic Thunder,4.5,0.48	
Area 51,8.0,1.46	
Arena Football,8.15,0.71	
Arkanoid DS,4.5,0.06	
ArmA II,7.8,0.14	
ArmA III,7.0,0.12	
Armored Core 2,8.0,0.79	
Armored Core 2: Another Age,7.8,0.41	
Armored Core 3,7.3,0.67	
Armored Core 4,5.9,0.45	
Armored Core V,7.5,0.62	
Armored Core,8.0,0.41	
Armored Core: Last Raven,6.4,0.18	
Armored Core: Master of Arena,8.0,0.26	
Armored Core: Nexus,7.5,0.26	
Armored Core: Nine Breaker,5.5,0.07	
Armored Core: Project Phantasma,7.8,0.28	
Armored Core: Verdict Day,7.6,0.12	
Armorines: Project S.W.A.R.M.,6.4,0.34	
Army Corps of Hell,7.0,0.1	
Army Men 3D,7.0,1.28	
Army Men: Air Attack 2,7.6,0.3	
Army Men: Air Attack,8.0,0.85	
Army Men: Air Combat,7.6,0.24	
Army Men: Green Rogue,4.3,0.2	
Army Men: Major Malfunction,3.0,0.02	
Army Men: RTS,6.55,0.18	
Army Men: Sarge's Heroes 2,4.75,0.83	
Army Men: Sarge's Heroes,4.93333333333,1.37	
Army Men: Sarge's War,4.15,0.26	
Army Men: Soldiers of Misfortune,2.83333333333,0.25	
Army of Two,7.9,2.82	
Army of Two: The 40th Day,6.75,2.12	
Army of Two: The Devil's Cartel,5.0,0.54	
Around the World in 80 Days,5.0,0.21	
Art Academy,6.5,2.57	
Art Academy: Lessons for Everyone,8.0,0.46	
Art of Fighting Anthology,7.0,0.04	
Arx Fatalis,7.9,0.05	
Asphalt 3D,3.0,0.49	
Asphalt: Urban GT 2,8.7,0.14	
Asphalt: Urban GT,6.5,0.6	
Assassin's Creed Chronicles: China,6.4,0.04	
Assassin's Creed II,9.1,11.41	
Assassin's Creed II: Discovery,7.5,0.28	
Assassin's Creed III,8.525,13.1	
Assassin's Creed III: Liberation,7.2,1.47	
Assassin's Creed IV: Black Flag,8.5,13.16	
Assassin's Creed Syndicate,8.2,4.76	
Assassin's Creed,7.73333333333,11.3	
Assassin's Creed: Altair's Chronicles,7.76666666667,0.05	
Assassin's Creed: Bloodlines,6.9,1.24	
Assassin's Creed: Brotherhood,8.0,6.93	
Assassin's Creed: Revelations,8.5,9.19	
Assault Rigs,6.0,0.04	
Assault: Retribution,5.5,0.13	
Assetto Corsa,6.0,0.06	
Asterix & Obelix: Kick Buttix,6.7,0.03	
Asteroids Hyper 64,6.3,0.16	
Asteroids,6.4,5.46	
Astonishia Story,5.5,0.03	
Astro Boy: Omega Factor,8.8,0.09	
Astro Boy: The Video Game,4.85,0.36	
Asura's Wrath,7.5,0.65	
Atari Anniversary Advance,8.0,0.18	
Atari Anthology,6.0,0.65	
Atari Classics Evolved,7.0,0.09	
Atelier Ayesha: The Alchemist of Dusk,6.2,0.32	
Atelier Totori: The Adventurer of Arland,7.5,0.52	
Athens 2004,4.5,0.27	
Attack of the Movies 3D,4.25,0.15	
Attack on Titan: Humanity in Chains,4.9,0.41	
Auto Destruct,6.0,0.08	
Auto Modellista,6.06666666667,0.42	
Automobili Lamborghini,7.0,0.47	
Avalon Code,8.3,0.24	
